Time,Station,Today,Last Year,Avg 5 year,Avg 10 year
2021-11-05 00:00:00,Guddu,35.6,43.7,42.2,45.2
2021-11-05 00:00:00,Sukkur,30.3,33.5,32.7,36.7
2021-11-05 00:00:00,Kotri,5.6,10.5,8.8,12
2021-11-08 00:00:00,Guddu,35,41.7,42.2,45.2
2021-11-08 00:00:00,Sukkur,29.2,31.8,32.7,36.7
2021-11-08 00:00:00,Kotri,5.4,8.4,8.8,12
2021-11-11 00:00:00,Guddu,34.1,46.7,46.2,44.7
2021-11-11 00:00:00,Sukkur,29.1,33,34.8,35.4
2021-11-11 00:00:00,Kotri,4.8,7.5,6.6,8.2
2021-11-15 00:00:00,Guddu,44.4,50.1,46.2,44.7
2021-11-15 00:00:00,Sukkur,32.2,37.8,34.8,35.4
2021-11-15 00:00:00,Kotri,3.6,7.6,6.6,8.2
2021-11-15 00:00:00,Guddu,44.4,50.1,46.2,44.7
2021-11-15 00:00:00,Sukkur,32.2,37.8,34.8,35.4
2021-11-15 00:00:00,Kotri,3.6,7.6,6.6,8.2
